Codigo;Bodega;Mes;Stock_Unid
CECCD-00001;Almacen Punto de Ventas 1;2024-04-01;-90
CECCD-00001;Almacen Punto de Ventas 1;2025-07-01;61
CECCD-00001;Almacen Punto de Ventas 1;2025-09-01;-62
CECCD-00001;Almacen Punto de Ventas 1;2025-11-01;-79
CECCD-00002;Almacen Punto de Venta 2;2024-07-01;-40
CECCD-00002;Almacen Punto de Ventas 1;2021-08-01;-5
CECCD-00002;Almacen Punto de Ventas 1;2021-11-01;-54
CEO 002;Almacen Central;2023-09-01;69
CEO 002;Almacen Punto de Venta 2;2021-03-01;-47
CEO 002;Almacen Punto de Venta 2;2021-04-01;-79
CEO 002;Almacen Punto de Venta 2;2025-03-01;-87
CEO 002;Almacen Punto de Ventas 1;2020-06-01;-82
CEO 002;Almacen Punto de Ventas 1;2020-10-01;39
CEO 002;Almacen Punto de Ventas 1;2024-09-01;66
CEO 002;Almacen Punto de Ventas 1;2025-07-01;24
CEO 003;Almacen Central;2020-01-01;-69
CEO 003;Almacen Punto de Ventas 1;2025-01-01;18
CEO 005;Almacen Punto de Venta 2;2020-07-01;-84
CEO 005;Almacen Punto de Venta 2;2022-06-01;6
CEO 005;Almacen Punto de Venta 2;2023-02-01;-38
CEO 005;Almacen Punto de Ventas 1;2023-04-01;-55
CEO 006;Almacen Central;2023-08-01;35
CEO 006;Almacen Central;2025-12-01;-70
CEO 006;Almacen Punto de Ventas 1;2025-08-01;-81
CEO 007;Almacen Central;2021-12-01;-64
CEO 007;Almacen Central;2024-06-01;-99
CEO 007;Almacen Punto de Venta 2;2022-02-01;-95
CEO 007;Almacen Punto de Venta 2;2024-11-01;-26
CEO 008;Almacen Punto de Ventas 1;2021-08-01;-60
CEO 008;Almacen Punto de Ventas 1;2022-07-01;46
CEO 009;Almacen Central;2022-09-01;-28
CEO 010;Almacen Punto de Venta 2;2023-01-01;63
CEO 010;Almacen Punto de Venta 2;2025-03-01;77
CEO 010;Almacen Punto de Ventas 1;2022-08-01;-84
CEO 010;Almacen Punto de Ventas 1;2025-09-01;-72
CEO 010;Almacen Punto de Ventas 1;2025-10-01;-65
CEO 011;Almacen Central;2020-10-01;-65
CEO 011;Almacen Central;2022-03-01;-23
CEO 011;Almacen Punto de Ventas 1;2020-11-01;36
CEO-012;Almacen Central;2022-03-01;-61
CEO-012;Almacen Central;2023-06-01;85
CEO-012;Almacen Punto de Ventas 1;2021-10-01;-6
CEO-012;Almacen Punto de Ventas 1;2023-08-01;81
CEO-013;Almacen Central;2023-08-01;-76
CEO-013;Almacen Punto de Venta 2;2020-10-01;-98
CEO-013;Almacen Punto de Venta 2;2022-05-01;-94
CEO-014;Almacen Central;2022-03-01;-93
CEO-014;Almacen Punto de Venta 2;2022-10-01;73
CEO-014;Almacen Punto de Ventas 1;2025-01-01;-10
CEO-015;Almacen Central;2023-05-01;-36
CEO-015;Almacen Punto de Venta 2;2022-09-01;-73
CEO-015;Almacen Punto de Venta 2;2025-10-01;-49
CEO-015;Almacen Punto de Venta 2;2025-11-01;-76
CEO-016;Almacen Central;2020-03-01;-34
CEO-016;Almacen Punto de Ventas 1;2022-02-01;-83
CEO-017;Almacen Punto de Venta 2;2024-10-01;-59
CEO-017;Almacen Punto de Ventas 1;2022-02-01;-97
CEO-017;Almacen Punto de Ventas 1;2025-11-01;-47
CEO-018;Almacen Central;2023-11-01;-13
CEO-018;Almacen Punto de Venta 2;2023-03-01;-47
CEO-018;Almacen Punto de Ventas 1;2024-06-01;50
CEO-019;Almacen Punto de Venta 2;2020-08-01;-8
CEO-019;Almacen Punto de Venta 2;2024-12-01;-80
CEO-019;Almacen Punto de Ventas 1;2023-03-01;-67
CEO-021;Almacen Punto de Ventas 1;2022-03-01;-91
CEO-021;Almacen Punto de Ventas 1;2024-12-01;-10
CEO-022;Almacen Central;2022-11-01;27
CEO-022;Almacen Central;2024-04-01;-58
CEO-022;Almacen Punto de Venta 2;2020-11-01;-4
CEO-022;Almacen Punto de Ventas 1;2020-01-01;-61
CEO-023;Almacen Central;2021-11-01;-39
CEO-023;Almacen Punto de Venta 2;2025-02-01;-6
CEO-023;Almacen Punto de Ventas 1;2020-07-01;-94
CEO-023;Almacen Punto de Ventas 1;2022-11-01;-42
CEO-026;Almacen Central;2023-03-01;85
CEO-026;Almacen Central;2024-01-01;38
CEO-026;Almacen Punto de Venta 2;2021-03-01;-12
CEO-026;Almacen Punto de Venta 2;2022-01-01;-6
CEO-026;Almacen Punto de Ventas 1;2021-09-01;-18
CEO-027;Almacen Punto de Venta 2;2020-09-01;-69
CEO-027;Almacen Punto de Venta 2;2022-07-01;-48
CEO-027;Almacen Punto de Ventas 1;2021-07-01;-17
CEO-028;Almacen Central;2025-10-01;21
CEO-028;Almacen Punto de Venta 2;2020-12-01;-27
CEO-028;Almacen Punto de Venta 2;2022-01-01;-59
CEO-028;Almacen Punto de Venta 2;2022-12-01;83
CEO-028;Almacen Punto de Venta 2;2023-08-01;70
CEO-028;Almacen Punto de Ventas 1;2023-04-01;7
CEO-028;Almacen Punto de Ventas 1;2025-04-01;-18
CEO-029;Almacen Central;2020-03-01;-58
CEO-029;Almacen Central;2022-01-01;-79
CEO-029;Almacen Central;2023-12-01;51
CEO-029;Almacen Punto de Venta 2;2020-10-01;-23
CEO-030;Almacen Central;2020-05-01;-52
CEO-030;Almacen Central;2021-10-01;-37
CEO-030;Almacen Central;2021-12-01;-13
CEO-030;Almacen Central;2024-01-01;62
CEO-030;Almacen Central;2024-11-01;59
CEO-030;Almacen Punto de Venta 2;2021-06-01;-16
CEO-031;Almacen Central;2023-12-01;-49
CEO-031;Almacen Punto de Ventas 1;2023-09-01;80
CEO-031;Almacen Punto de Ventas 1;2025-09-01;-41
CEO-032;Almacen Punto de Ventas 1;2020-01-01;-71
CEO-032;Almacen Punto de Ventas 1;2025-01-01;-85
CEO-032;Almacen Punto de Ventas 1;2025-02-01;-91
CEO-033;Almacen Central;2020-07-01;39
CEO-033;Almacen Central;2025-12-01;-64
CEO-033;Almacen Punto de Venta 2;2024-02-01;49
CEO-033;Almacen Punto de Ventas 1;2025-11-01;33
CEO-034;Almacen Central;2021-11-01;-60
CEO-034;Almacen Central;2024-02-01;-82
CEO-034;Almacen Punto de Venta 2;2021-03-01;98
CEO-034;Almacen Punto de Venta 2;2023-01-01;-26
CEO-034;Almacen Punto de Venta 2;2024-08-01;77
CEO-034;Almacen Punto de Ventas 1;2023-06-01;-88
CEO-036;Almacen Central;2022-05-01;-26
CEO-036;Almacen Punto de Venta 2;2025-08-01;-11
CEO-036;Almacen Punto de Ventas 1;2022-11-01;-95
CEO-036;Almacen Punto de Ventas 1;2024-09-01;57
CEO-036;Almacen Punto de Ventas 1;2025-12-01;-7
CEO-037;Almacen Punto de Ventas 1;2020-10-01;-12
CEO-040;Almacen Central;2025-12-01;84
CEO-040;Almacen Punto de Ventas 1;2024-05-01;-19
CER 001;Almacen Central;2023-03-01;-100
CER 001;Almacen Punto de Ventas 1;2025-02-01;89
CER 001;Almacen Punto de Ventas 1;2025-03-01;28
CER 002;Almacen Punto de Venta 2;2024-03-01;-2
CER 002;Almacen Punto de Ventas 1;2024-06-01;-61
CER 003;Almacen Central;2025-07-01;12
CER 003;Almacen Punto de Venta 2;2025-04-01;-6
CER 003;Almacen Punto de Ventas 1;2021-12-01;-69
CER 004;Almacen Punto de Venta 2;2023-09-01;-2
CER 004;Almacen Punto de Ventas 1;2021-09-01;8
CER 005;Almacen Punto de Ventas 1;2021-05-01;-32
CER 006;Almacen Central;2024-09-01;62
CER 006;Almacen Punto de Venta 2;2022-05-01;-9
CER 006;Almacen Punto de Ventas 1;2020-12-01;16
CER 006;Almacen Punto de Ventas 1;2024-02-01;-71
CER 006;Almacen Punto de Ventas 1;2024-05-01;-67
CER 007;Almacen Central;2021-12-01;-46
CER 007;Almacen Punto de Ventas 1;2021-10-01;8
CER 007;Almacen Punto de Ventas 1;2021-11-01;-100
CER 008;Almacen Punto de Venta 2;2020-09-01;-12
CER 008;Almacen Punto de Venta 2;2020-10-01;-100
CER 008;Almacen Punto de Venta 2;2022-02-01;-91
CER 008;Almacen Punto de Ventas 1;2021-07-01;-16
CER 008;Almacen Punto de Ventas 1;2024-05-01;-34
CER 009;Almacen Punto de Venta 2;2020-11-01;-42
CER 009;Almacen Punto de Ventas 1;2023-06-01;-76
CER 009;Almacen Punto de Ventas 1;2024-06-01;58
CER 010;Almacen Punto de Venta 2;2023-10-01;-39
CER 010;Almacen Punto de Venta 2;2025-06-01;-13
CER 013;Almacen Central;2024-03-01;-89
CERCD-00001;Almacen Punto de Venta 2;2023-11-01;-82
CERCD-00001;Almacen Punto de Venta 2;2025-05-01;-38
CERCD-00001;Almacen Punto de Ventas 1;2022-06-01;-2
CERCD-00001;Almacen Punto de Ventas 1;2025-07-01;-84
CERCD-00002;Almacen Central;2020-09-01;-56
CERCD-00002;Almacen Punto de Venta 2;2020-02-01;-5
CERCD-00002;Almacen Punto de Venta 2;2025-03-01;-100
CERCD-00002;Almacen Punto de Ventas 1;2020-01-01;-44
CERCD-00003;Almacen Central;2021-07-01;-71
CERCD-00003;Almacen Central;2024-03-01;81
CERCD-00003;Almacen Punto de Venta 2;2021-01-01;-66
CERCD-00003;Almacen Punto de Ventas 1;2022-05-01;-39
CERCD-00003;Almacen Punto de Ventas 1;2023-02-01;-75
CERCD-00004;Almacen Central;2021-01-01;91
CERCD-00004;Almacen Punto de Venta 2;2021-08-01;79
CERCD-00004;Almacen Punto de Venta 2;2022-11-01;-93
CERCD-00004;Almacen Punto de Ventas 1;2025-05-01;54
CERCD-00005;Almacen Central;2020-09-01;-88
CERCD-00005;Almacen Central;2022-11-01;-97
CERCD-00005;Almacen Punto de Ventas 1;2023-02-01;-52
CERCD-00005;Almacen Punto de Ventas 1;2023-07-01;-73
CERCD-00006;Almacen Central;2022-04-01;-12
CERCD-00006;Almacen Punto de Venta 2;2020-04-01;-2
CERCD-00006;Almacen Punto de Venta 2;2023-10-01;-24
CERCD-00006;Almacen Punto de Venta 2;2024-06-01;-92
CERCD-00006;Almacen Punto de Ventas 1;2022-08-01;-12
CERE 001;Almacen Central;2021-10-01;25
CERE 001;Almacen Punto de Venta 2;2024-02-01;-12
CERE 001;Almacen Punto de Ventas 1;2020-11-01;-14
CERE 001;Almacen Punto de Ventas 1;2023-04-01;14
CERE 002;Almacen Central;2021-06-01;-89
CERE 002;Almacen Punto de Ventas 1;2021-09-01;79
CERE 002;Almacen Punto de Ventas 1;2023-03-01;81
CERE 002;Almacen Punto de Ventas 1;2024-05-01;-88
CERE 003;Almacen Central;2023-11-01;-54
CERE 003;Almacen Punto de Venta 2;2025-09-01;39
CERE 003;Almacen Punto de Ventas 1;2022-12-01;66
CERE 004;Almacen Central;2023-10-01;-26
CERE 004;Almacen Central;2024-07-01;-21
CERE 004;Almacen Punto de Ventas 1;2022-04-01;-93
CERE 005;Almacen Punto de Venta 2;2025-08-01;64
CERE 005;Almacen Punto de Ventas 1;2023-08-01;-39
CERE 006;Almacen Central;2024-06-01;-43
CERE 006;Almacen Central;2024-09-01;-40
CERE 006;Almacen Punto de Venta 2;2022-09-01;-28
CERE 006;Almacen Punto de Venta 2;2024-03-01;-54
CERE 006;Almacen Punto de Ventas 1;2022-10-01;-2
CERE 006;Almacen Punto de Ventas 1;2024-03-01;77
CERE-007;Almacen Central;2023-04-01;-74
CERE-007;Almacen Central;2023-07-01;-79
CERE-007;Almacen Central;2023-08-01;-48
CERE-007;Almacen Central;2025-06-01;-50
CERE-008;Almacen Central;2020-05-01;33
CERE-008;Almacen Central;2021-04-01;-44
CERE-008;Almacen Central;2023-11-01;-90
CERE-008;Almacen Central;2024-08-01;44
CERE-008;Almacen Punto de Venta 2;2020-07-01;-65
CERE-008;Almacen Punto de Venta 2;2022-09-01;-61
CERE-008;Almacen Punto de Venta 2;2023-04-01;-66
CERE-008;Almacen Punto de Ventas 1;2023-04-01;44
CERE-009;Almacen Central;2022-06-01;-55
CERE-009;Almacen Central;2024-02-01;21
CERE-009;Almacen Central;2024-08-01;-15
CERE-009;Almacen Punto de Venta 2;2021-07-01;-8
CERE-009;Almacen Punto de Venta 2;2024-07-01;-93
CERE-010;Almacen Punto de Ventas 1;2020-05-01;-58
CERE-010;Almacen Punto de Ventas 1;2022-10-01;-65
CERE-011;Almacen Central;2024-05-01;-42
CERE-011;Almacen Central;2025-11-01;-61
CERE-011;Almacen Punto de Venta 2;2020-07-01;-38
CERE-011;Almacen Punto de Venta 2;2022-12-01;-41
CERE-011;Almacen Punto de Venta 2;2025-02-01;-20
CERE-011;Almacen Punto de Venta 2;2025-10-01;-97
CERE-011;Almacen Punto de Ventas 1;2020-10-01;39
CERE-012;Almacen Central;2020-03-01;48
CERE-012;Almacen Punto de Venta 2;2020-03-01;-97
CERE-012;Almacen Punto de Venta 2;2021-10-01;41
CERE-012;Almacen Punto de Venta 2;2025-06-01;-31
CERE-013;Almacen Punto de Venta 2;2021-08-01;-7
CERE-013;Almacen Punto de Venta 2;2021-11-01;-88
CERE-013;Almacen Punto de Venta 2;2023-03-01;-90
CERE-013;Almacen Punto de Venta 2;2023-05-01;-88
CERE-013;Almacen Punto de Venta 2;2025-08-01;-39
CERE-013;Almacen Punto de Ventas 1;2020-08-01;9
CERE-013;Almacen Punto de Ventas 1;2021-08-01;-56
CERE-013;Almacen Punto de Ventas 1;2023-01-01;38
CERE-014;Almacen Punto de Venta 2;2023-06-01;-65
CERE-014;Almacen Punto de Venta 2;2023-10-01;-30
CERE-014;Almacen Punto de Venta 2;2025-05-01;-62
CERE-014;Almacen Punto de Ventas 1;2023-02-01;-83
CERE-014;Almacen Punto de Ventas 1;2025-09-01;39
CERE-015;Almacen Central;2023-07-01;-84
CERE-015;Almacen Central;2025-02-01;-91
CERE-015;Almacen Punto de Ventas 1;2024-03-01;-43
CERE-015;Almacen Punto de Ventas 1;2025-06-01;-14
CERE-016;Almacen Punto de Ventas 1;2020-04-01;-30
CERE-016;Almacen Punto de Ventas 1;2024-01-01;97
CH-00001;Almacen Punto de Venta 2;2021-08-01;-12
CH-00001;Almacen Punto de Venta 2;2023-01-01;-77
CH-00001;Almacen Punto de Venta 2;2023-06-01;-31
CHP-00001;Almacen Central;2020-09-01;-43
CHP-00001;Almacen Punto de Venta 2;2022-04-01;-53
CHP-00001;Almacen Punto de Ventas 1;2020-07-01;-82
CHP-00001;Almacen Punto de Ventas 1;2020-12-01;-94
CHP-00001;Almacen Punto de Ventas 1;2024-01-01;-48
CHPVC;Almacen Central;2020-01-01;-37
CHPVC;Almacen Central;2020-04-01;-71
CHPVC;Almacen Central;2020-11-01;-70
CJBAME-00001;Almacen Central;2020-06-01;-51
CJBAME-00001;Almacen Central;2023-11-01;-80
CJBAME-00001;Almacen Punto de Venta 2;2020-10-01;26
CJBAME-00001;Almacen Punto de Ventas 1;2021-04-01;25
CJBAME-00002;Almacen Central;2020-09-01;-47
CJBAME-00002;Almacen Central;2024-06-01;-34
CJBAME-00002;Almacen Punto de Ventas 1;2021-01-01;-10
CJBAME-00002;Almacen Punto de Ventas 1;2022-06-01;36
CJBAME-00002;Almacen Punto de Ventas 1;2023-11-01;-34
CJBAME-00003;Almacen Central;2025-10-01;-20
CJBAME-00003;Almacen Punto de Venta 2;2022-06-01;-67
CJBAME-00003;Almacen Punto de Venta 2;2025-05-01;96
CJBAME-00003;Almacen Punto de Venta 2;2025-12-01;-59
CJBAME-00003;Almacen Punto de Ventas 1;2021-11-01;-80
CJBAME-00003;Almacen Punto de Ventas 1;2023-06-01;-29
CJBAME-00004;Almacen Central;2025-01-01;-45
CJBAME-00005;Almacen Punto de Ventas 1;2020-05-01;-53
CJBAME-00005;Almacen Punto de Ventas 1;2025-11-01;-86
CJBAME-00006;Almacen Central;2020-08-01;55
CJBAME-00006;Almacen Punto de Ventas 1;2024-05-01;-89
CJBAME-00007;Almacen Central;2022-01-01;90
CJBAME-00007;Almacen Central;2022-09-01;-40
CJBAME-00007;Almacen Punto de Venta 2;2020-01-01;-96
CJBAME-00007;Almacen Punto de Venta 2;2022-07-01;-42
CJBAME-00007;Almacen Punto de Venta 2;2024-05-01;14
CJBAME-00007;Almacen Punto de Ventas 1;2020-12-01;-36
CJBAME-00007;Almacen Punto de Ventas 1;2023-04-01;37
CJBAME-00008;Almacen Central;2024-04-01;-44
CJBAME-00008;Almacen Central;2025-03-01;-46
CJBAME-00008;Almacen Punto de Venta 2;2020-10-01;-14
CJBAME-00008;Almacen Punto de Ventas 1;2023-04-01;-98
CJBAME-00009;Almacen Central;2024-06-01;31
CJBAME-00009;Almacen Central;2025-03-01;-32
CJBAME-00009;Almacen Punto de Venta 2;2020-12-01;40
CJBAME-00009;Almacen Punto de Venta 2;2024-12-01;-64
CJBAME-00009;Almacen Punto de Ventas 1;2024-06-01;-6
CJBAME-00010;Almacen Central;2021-01-01;72
CJBAME-00010;Almacen Central;2021-02-01;-81
CJBAME-00010;Almacen Central;2022-09-01;-32
CJBAME-00010;Almacen Punto de Venta 2;2022-12-01;-4
CJBAME-00010;Almacen Punto de Venta 2;2024-06-01;58
CJBAME-00010;Almacen Punto de Venta 2;2025-12-01;-57
CJBAME-00010;Almacen Punto de Ventas 1;2022-07-01;-68
CJBAME-00010;Almacen Punto de Ventas 1;2023-04-01;-68
CJBAME-00010;Almacen Punto de Ventas 1;2024-03-01;-29
CJBAME-00010;Almacen Punto de Ventas 1;2024-10-01;-97
CJBAME-00011;Almacen Central;2020-10-01;-99
CJBAME-00011;Almacen Punto de Venta 2;2020-07-01;97
CJBAME-00011;Almacen Punto de Venta 2;2020-11-01;-76
CJBAME-00011;Almacen Punto de Ventas 1;2024-05-01;15
CJBAME-00012;Almacen Central;2021-10-01;-48
CJBAME-00012;Almacen Central;2023-12-01;-61
CJBAME-00012;Almacen Punto de Venta 2;2023-05-01;-3
CJBAME-00012;Almacen Punto de Venta 2;2025-05-01;80
CJBAME-00012;Almacen Punto de Ventas 1;2025-05-01;-50
CJBAME-00013;Almacen Punto de Venta 2;2020-01-01;-43
CJBAME-00013;Almacen Punto de Venta 2;2021-01-01;-66
CJBAME-00013;Almacen Punto de Ventas 1;2024-04-01;-23
CJBAME-00013;Almacen Punto de Ventas 1;2025-04-01;-93
CJBAME-00013;Almacen Punto de Ventas 1;2025-08-01;70
CJBAME-00014;Almacen Central;2020-09-01;75
CJBAME-00014;Almacen Punto de Venta 2;2022-04-01;-89
CJBAME-00015;Almacen Central;2024-02-01;81
CJBAME-00015;Almacen Central;2024-10-01;71
CJBAME-00015;Almacen Punto de Venta 2;2023-06-01;-45
CJBAME-00015;Almacen Punto de Venta 2;2025-12-01;8
CJBAME-00015;Almacen Punto de Ventas 1;2022-12-01;12
CJBAME-00015;Almacen Punto de Ventas 1;2025-06-01;25
CJBAME-00016;Almacen Punto de Venta 2;2020-11-01;-31
CJBAME-00016;Almacen Punto de Venta 2;2022-12-01;-32
CJBAME-00016;Almacen Punto de Venta 2;2025-03-01;-9
CJBAME-00016;Almacen Punto de Ventas 1;2020-06-01;-16
CJBAME-00016;Almacen Punto de Ventas 1;2021-09-01;-32
CJBAME-00017;Almacen Central;2021-12-01;-11
CJBAME-00017;Almacen Punto de Venta 2;2022-07-01;-43
CJBAME-00017;Almacen Punto de Venta 2;2025-06-01;-32
CJBAME-00018;Almacen Central;2020-02-01;-58
CJBAME-00018;Almacen Central;2020-03-01;89
CJBAME-00019;Almacen Central;2023-05-01;-2
CJBAME-00019;Almacen Central;2025-04-01;-57
CJBAME-00019;Almacen Punto de Venta 2;2020-04-01;-17
CJBAME-00019;Almacen Punto de Ventas 1;2020-03-01;-29
CJBAME-00019;Almacen Punto de Ventas 1;2024-05-01;98
CJBAME-00019;Almacen Punto de Ventas 1;2025-06-01;-48
CJBAME-00020;Almacen Central;2021-03-01;-16
CJBAME-00020;Almacen Punto de Venta 2;2020-12-01;-8
CJBAME-00020;Almacen Punto de Ventas 1;2022-09-01;-25
CJBAME-00021;Almacen Punto de Venta 2;2021-07-01;-14
CJBAME-00021;Almacen Punto de Venta 2;2024-08-01;-88
CJBAME-00021;Almacen Punto de Ventas 1;2024-09-01;-18
CJBAME-00022;Almacen Punto de Ventas 1;2024-07-01;-28
CJBAME-00023;Almacen Central;2021-10-01;-53
CJBAME-00023;Almacen Central;2021-11-01;39
CJBAME-00023;Almacen Punto de Ventas 1;2023-05-01;-57
CJBAME-00023;Almacen Punto de Ventas 1;2025-03-01;-30
CJBAME-00024;Almacen Punto de Venta 2;2025-03-01;-15
CJBAME-00025;Almacen Punto de Venta 2;2021-02-01;-33
CJBAME-00025;Almacen Punto de Venta 2;2023-08-01;-13
CJBAME-00025;Almacen Punto de Ventas 1;2025-07-01;-35
CJBAME-00026;Almacen Central;2023-01-01;-6
CJBAME-00026;Almacen Punto de Venta 2;2023-06-01;-90
CJBAME-00026;Almacen Punto de Venta 2;2025-04-01;45
CJBAME-00026;Almacen Punto de Ventas 1;2024-12-01;100
CJBAME-00026;Almacen Punto de Ventas 1;2025-08-01;-14
CJBAME-00027;Almacen Central;2020-08-01;-99
CJBAME-00027;Almacen Central;2022-05-01;-16
CJBAME-00027;Almacen Central;2025-01-01;-7
CJBAME-00027;Almacen Punto de Venta 2;2023-05-01;-76
CJBAME-00027;Almacen Punto de Venta 2;2023-10-01;-80
CJBAME-00027;Almacen Punto de Venta 2;2025-02-01;-12
CJBAME-00027;Almacen Punto de Ventas 1;2023-11-01;-37
CJBAME-00028;Almacen Central;2020-06-01;-32
CJBAME-00028;Almacen Central;2021-10-01;24
CJBAME-00029;Almacen Central;2021-09-01;-45
CJBAME-00029;Almacen Central;2025-04-01;-81
CJBAME-00029;Almacen Punto de Venta 2;2021-06-01;-62
CJBAME-00029;Almacen Punto de Venta 2;2021-10-01;26
CJBAME-00029;Almacen Punto de Ventas 1;2025-08-01;-41
CJBAME-00030;Almacen Punto de Venta 2;2021-12-01;74
CJBAME-00030;Almacen Punto de Ventas 1;2020-03-01;-59
CJBAME-00031;Almacen Central;2023-12-01;69
CJBAME-00031;Almacen Central;2025-03-01;-16
CJBAME-00032;Almacen Punto de Venta 2;2020-02-01;-32
CJBAME-00032;Almacen Punto de Venta 2;2020-05-01;-80
CJBAME-00033;Almacen Central;2020-04-01;-52
CJBAME-00033;Almacen Central;2024-09-01;52
CJBAME-00033;Almacen Punto de Ventas 1;2023-10-01;-6
CJBAME-00034;Almacen Central;2021-01-01;-39
CJBAME-00034;Almacen Punto de Venta 2;2025-02-01;-34
CJBAME-00034;Almacen Punto de Ventas 1;2020-09-01;-84
CJBAME-00035;Almacen Central;2022-01-01;23
CJBAME-00035;Almacen Central;2022-09-01;-94
CJBAME-00035;Almacen Punto de Venta 2;2022-02-01;59
CJBAME-00035;Almacen Punto de Venta 2;2025-05-01;-76
CJBAME-00036;Almacen Central;2023-10-01;-95
CJBAME-00036;Almacen Punto de Venta 2;2021-08-01;36
CJBAME-00036;Almacen Punto de Venta 2;2021-11-01;-21
CJBAME-00036;Almacen Punto de Venta 2;2025-05-01;47
CJBAME-00036;Almacen Punto de Ventas 1;2022-04-01;82
CJBAME-00036;Almacen Punto de Ventas 1;2023-01-01;-62
CJBAME-00037;Almacen Central;2021-10-01;-94
CJBAME-00037;Almacen Punto de Venta 2;2022-05-01;-53
CJBAME-00037;Almacen Punto de Venta 2;2024-05-01;-58
CJBAME-00038;Almacen Central;2022-02-01;18
CJBAME-00038;Almacen Punto de Venta 2;2023-02-01;-25
CJBAME-00039;Almacen Central;2022-02-01;3
CJBAME-00040;Almacen Punto de Venta 2;2022-09-01;-12
CJBAME-00040;Almacen Punto de Ventas 1;2022-04-01;-85
CJBAME-00041;Almacen Central;2024-01-01;-52
CJBAME-00041;Almacen Central;2024-03-01;-6
CJBAME-00041;Almacen Punto de Venta 2;2021-07-01;-38
CJBAME-00041;Almacen Punto de Venta 2;2022-06-01;64
CJBAME-00041;Almacen Punto de Venta 2;2024-11-01;-12
CJBAME-00041;Almacen Punto de Ventas 1;2021-11-01;-17
CJBAME-00041;Almacen Punto de Ventas 1;2025-10-01;-65
CJBAME-00042;Almacen Central;2020-05-01;-14
CJBAME-00042;Almacen Punto de Ventas 1;2024-01-01;-31
CJBAME-00043;Almacen Central;2021-02-01;-71
CJBAME-00043;Almacen Punto de Venta 2;2024-05-01;26
CJBAME-00043;Almacen Punto de Venta 2;2024-06-01;13
CJBAME-00043;Almacen Punto de Venta 2;2024-08-01;25
CJBAME-00044;Almacen Central;2025-01-01;-93
CJBAME-00044;Almacen Punto de Venta 2;2020-01-01;-25
CJBAME-00044;Almacen Punto de Venta 2;2020-12-01;-44
CJBAME-00044;Almacen Punto de Venta 2;2024-07-01;-42
CJBAME-00044;Almacen Punto de Ventas 1;2021-06-01;-15
CJBAME-00044;Almacen Punto de Ventas 1;2025-06-01;-64
CJBAME-00046;Almacen Central;2022-05-01;43
CJBAME-00046;Almacen Central;2024-12-01;-94
CJBAME-00046;Almacen Central;2025-02-01;-93
CJBAME-00046;Almacen Punto de Venta 2;2020-09-01;-84
CJBAME-00046;Almacen Punto de Venta 2;2024-05-01;-39
CJBAME-00046;Almacen Punto de Ventas 1;2021-02-01;-62
CJBAME-00046;Almacen Punto de Ventas 1;2024-12-01;-2
CJBAME-00047;Almacen Central;2023-07-01;-63
CJBAME-00047;Almacen Punto de Ventas 1;2020-06-01;-25
CJBAME-00047;Almacen Punto de Ventas 1;2020-12-01;65
CJBAME-00048;Almacen Central;2020-04-01;61
CJBAME-00048;Almacen Central;2025-06-01;-94
CJBAME-00048;Almacen Punto de Ventas 1;2020-12-01;-65
CJBAME-00048;Almacen Punto de Ventas 1;2023-11-01;-64
CJBAME-00048;Almacen Punto de Ventas 1;2024-12-01;-68
CJBAME-00049;Almacen Central;2025-11-01;27
CJBAME-00049;Almacen Punto de Venta 2;2025-12-01;-18
CJBAME-00049;Almacen Punto de Ventas 1;2021-11-01;-23
CJBAME-00049;Almacen Punto de Ventas 1;2025-09-01;-72
CJBAME-00050;Almacen Central;2023-10-01;-79
CJBAME-00050;Almacen Central;2024-06-01;-5
CJBAME-00050;Almacen Punto de Venta 2;2022-07-01;-19
CJBAME-00050;Almacen Punto de Venta 2;2025-01-01;86
CJBAME-00050;Almacen Punto de Ventas 1;2022-07-01;-100
CJBAME-00050;Almacen Punto de Ventas 1;2023-05-01;-28
CJBAME-00050;Almacen Punto de Ventas 1;2024-04-01;-53
CJBAME-00051;Almacen Central;2020-04-01;19
CJBAME-00051;Almacen Punto de Venta 2;2022-01-01;-15
CJBAME-00051;Almacen Punto de Ventas 1;2025-04-01;74
CJBAME-00052;Almacen Central;2021-02-01;-10
CJBAME-00052;Almacen Central;2024-02-01;15
CJBAME-00052;Almacen Punto de Venta 2;2020-08-01;-47
CJBAME-00052;Almacen Punto de Ventas 1;2021-12-01;84
CJBAME-00053;Almacen Punto de Venta 2;2022-12-01;-89
CJBAME-00053;Almacen Punto de Ventas 1;2021-10-01;-3
CJBAME-00054;Almacen Central;2023-04-01;-79
CJBAME-00054;Almacen Central;2024-07-01;-47
CJBAME-00054;Almacen Punto de Venta 2;2022-06-01;-5
CJBAME-00055;Almacen Punto de Venta 2;2023-11-01;-70
CJBAME-00056;Almacen Central;2023-12-01;-7
CJBAME-00056;Almacen Punto de Venta 2;2023-11-01;68
CJBAME-00056;Almacen Punto de Ventas 1;2024-06-01;-49
CJBAME-00056;Almacen Punto de Ventas 1;2024-09-01;-70
CJBAME-00056;Almacen Punto de Ventas 1;2025-11-01;-67
CJBAME-00057;Almacen Central;2024-07-01;-98
CJBAME-00057;Almacen Central;2025-02-01;-2
CJBAME-00057;Almacen Punto de Venta 2;2022-09-01;-56
